id,duration,length_cycling,length_local,partition,end_of_facility,length_bike_lane,length_seperate_cycling_link,length_collector,elev_m3,intersections,intersections_disc,length_arterial,length,elev_m2,avg_speed,length_inverse,traffic_lights,length_designated_roadway,length_other_road,change_of_facility_type,length_offroad,right_turn,left_turn,length_highway
279,427,870.7192201793355,426.94288420583985,"[215, 235]",0,0,870.7192201793355,385.64472102800516,0.16378257515092345,11,4,8.682503940925082,1693.7137505121957,1.2011068399977887,3.96654274124636,0,4,0,0,2,0,1,1,0
155,1803,3022.0871279610246,3753.189055244366,"[282, 12]",0,2298.018898588808,160.7818970909234,612.6924705831393,-0.38160169892951806,78,25,1859.577497764671,9333.28045679543,5.059675564119444,5.176528262227083,468.1622925832929,28,563.2863322812925,0,5,0,11,14,0
752,651,1216.025857445473,313.4124306930594,"[288, 231]",0,1126.128326566442,89.897530879031,286.52546097414574,-0.028784189761834764,19,14,768.035120565446,2673.4325994776086,0.6728848234670188,4.106655298736726,140.8750758657578,9,0,0,0,0,2,5,0
305,130,0,0,"[273, 280]",0,0,0,3.396446362551785,-0.0018066233507295676,2,0,517.2064810030079,520.6029273655597,0.09858316044404342,4.004637902811997,0,2,0,0,0,0,1,0,0
780,643,158.5643216353859,339.9215458429745,"[226, 35]",0,158.5643216353859,0,0,1.6212009892947281,29,5,2244.29761793175,3041.7827297880367,9.755093335962963,4.730610777275329,0.31477603828534484,16,0,0,1,0,3,2,0
578,1987,5929.051621096534,874.8724228616601,"[125, 432]",0,928.4661524887412,5000.585468607792,1975.663848420436,3.2674343899520077,111,21,3068.212072118523,11951.878175631875,18.081159683592904,6.01503682719269,1376.5100444627415,32,0,0,2,0,4,5,0
1049,3976,4378.5516989174,4266.046410590919,"[366, 366]",0,605.6958663197216,2227.4979536068076,2128.109876089425,-0.026884043925369402,88,50,1311.7021559670866,12942.72135151597,2.262944065905677,3.2552116075241373,1198.640031835113,26,1545.3578789908702,0,13,0,8,11,0
769,1916,5339.639222149361,283.7228140482498,"[423, 21]",0,0,5339.639222149361,277.0659277632379,0.4470054460661033,84,37,2144.490404348747,8056.964426757181,6.472836697573276,4.205096256136316,282.93158683510126,20,0,0,5,0,10,9,0
950,939,0,279.1177818134893,"[265, 305]",0,0,0,1195.6297830161911,-0.012756845899085104,27,0,1704.6205791037585,3477.069542607614,0.7652851622602792,3.7029494596460215,0,7,0,12.26368366338849,0,0,1,4,0
886,1056,190.88021368313537,1108.9442968754909,"[658, 208]",1,0,190.88021368313537,0,-0.08059395740388538,65,5,4093.1841710500457,5444.178256895223,8.260885738412467,5.155471834181083,509.0684288215876,32,0,0,0,0,5,3,0
109,1434,1109.0189474294036,2683.3645120935125,"[368, 368]",0,0,0,921.2748679318456,-0.011882913861534705,42,4,0,4713.658327454764,0.8690815965167685,3.2870699633575757,179.7005803627488,7,1109.0189474294036,0,1,0,6,7,0
733,1999,0,185.2980611043352,"[78, 32]",0,0,0,246.47937943136327,-0.12979826434854605,14,4,444.7659081335231,960.3109998759448,3.9517210091569925,0.48039569778686586,221.53487578819102,6,0,0,0,0,3,5,0
724,5044,5968.108690274995,1064.5065646692033,"[77, 32]",0,2182.895636138338,3225.020937379231,2034.4735803956687,-0.13103834256617833,143,60,6304.062504265146,15582.176967563673,10.585127522358931,3.0892499935693247,141.57771090041976,65,560.1921167574269,0,11,0,11,11,0
885,1068,2588.8148756092064,280.80554165291437,"[77, 230]",0,57.28837031574476,2265.23213458101,12.167095873968279,0.29507683606544094,43,24,1479.9172574225227,4361.704770558613,4.820531425050262,4.083993230860124,314.2287011277973,12,266.2943707124509,0,5,0,3,5,0
850,1574,1015.0936902034583,2243.2977434909103,"[463, 464]",0,174.56689707955346,117.32366623419026,690.4449013291551,-0.03066110089593435,41,16,0,3968.871493997569,1.3235169868751522,2.5215193735689763,174.56276604578716,4,723.2031268897144,0,2,0,2,4,0
962,5080,12154.400794654319,6525.507178659539,"[314, 314]",3,4467.737698790308,2268.2933739758014,1895.5548214918658,0.36116488127046026,156,69,799.3881740446069,21643.123947737524,9.271740207734203,4.260457470027071,1762.1545060872352,37,2557.230691767131,0,21,2861.1390301210813,18,13,0
802,1661,5220.936530284505,922.8523460597644,"[425, 19]",0,0,5220.936530284505,598.3553122971541,0.4540389469550824,78,32,1851.370356827963,8817.926505320416,6.666783782442531,5.308805843058649,269.99129975337667,21,0,0,4,0,10,9,0
231,828,835.8608730043536,1309.0512788692847,"[274, 207]",0,379.6987764027854,0,850.3086615386642,0.0023705677018515618,40,15,581.9226842112116,3636.719084609646,1.1255287848140183,4.3921728074995725,620.6369543882798,10,456.1620966015682,0,1,0,7,9,0
971,3291,10255.94008080567,1619.211756231677,"[681, 422]",2,226.97748845563763,9440.047918811433,1821.130371132192,8.973125861437353,139,44,1645.9798335580883,16829.936562730316,27.908332568054778,5.113927852546435,1210.9832853316257,12,588.9146735385989,143.6210882839826,16,0,14,8,0
867,496,1604.920101715536,0,"[50, 226]",0,0,1604.920101715536,0,0.018069796659312232,18,7,404.46607527572434,2009.38617699126,2.4906002827034843,4.051181808450121,0,6,0,0,1,0,1,1,0
624,1146,348.8712132909942,473.02076145407483,"[236, 34]",0,348.8712132909942,0,1489.8267467615735,1.4653481317790888,54,10,2235.99534368961,4547.714065196254,8.701116776519086,3.968336880625003,187.252982528155,28,0,0,0,0,4,7,0
1050,8646,28128.397525049273,2831.619422870643,"[696, 693]",3,0,28040.64559521988,8929.064807061053,0.44207680142392475,234,45,788.8023261478667,43078.38737083316,12.340148586800275,4.98246441948105,441.6620693151289,19,87.7519298293988,0,17,0,18,18,0
259,52,187.1460481514223,0,"[206, 206]",0,0,0,0,0.00022840451911826956,0,0,0,187.1460481514223,0.02137309145249089,3.5989624644504286,0,0,187.1460481514223,0,0,0,0,0,0
